LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 112176.0, 3294225, 1.0, 109197.0, 34848, 63.0, 112283.0, 3484800, -3243.0, 111824.0, 1805023, -3275.0, 102937.0, 34848, 1102.0, 112639.0, 3484831,
1, 33.0, 373769.0, 10156800, 1.0, 373209.0, 614400, 63.0, 373799.0, 10156800, -3243.0, 373620.0, 10156800, -3275.0, 358247.0, 614400, 1196.0, 374783.0, 10156831,
2, 33.0, 185729.0, 3345408, 1.0, 185577.0, 884736, 63.0, 185759.0, 3345408, -3243.0, 183695.0, 2356808, -3275.0, 185562.0, 884736, 1854.0, 185855.0, 3345439,
3, 33.0, 278609.0, 5018112, 1.0, 278457.0, 1327104, 63.0, 278639.0, 5018112, -3243.0, 278270.0, 5018112, -3275.0, 274995.0, 1327104, 1854.0, 278783.0, 5018143,
4, 33.0, 185729.0, 3345408, 1.0, 185577.0, 884736, 63.0, 185759.0, 3345408, -3243.0, 185467.0, 3345408, -3275.0, 185562.0, 884736, 1854.0, 185855.0, 3345439,
