LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 171489, 0, 42.16462134597554, 42.1875, 42.156754858005726,
1, 210594, 0, 89.79956693922904, 90.0, 89.73309608540924,
2, 185309, 0, 99.08747011747946, 100.0, 98.78946349021886,
3, 186767, 0, 96.37676891527947, 100.0, 95.23809523809506,
4, 192959, 0, 85.97059478956669, 100.0, 82.16833095577779,
5, 247679, 0, 56.27929699328566, 100.0, 49.1869918699192,
6, 806399, 0, 46.28577168374465, 100.0, 39.32038834951139,
7, 1317887, 0, 34.26576026624438, 100.0, 28.160919540232214,
8, 18303, 0, 33.464459378244, 97.65625, 27.500897988505784,
