LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 171454.0, 4627692, 6.0, 32.0, 432, 63.0, 171473.0, 2742336, -3243.0, 170897.0, 560866, -66.0, -1.0, 432, 2118.0, 172195.0, 2742367,
1, 33.0, 210548.0, 6051600, 1.0, 168508.0, 4608, 63.0, 210594.0, 6724000, -3243.0, 208882.0, 3465294, -524.0, -1.0, 4608, 1102.0, 210799.0, 6724031,
2, 33.0, 185279.0, 5875776, 1.0, 175047.0, 18432, 63.0, 185309.0, 5875776, -3243.0, 184841.0, 5875776, -1900.0, -1.0, 18432, 1102.0, 185631.0, 5875807,
3, 33.0, 186737.0, 5760000, 1.0, 184206.0, 73728, 63.0, 186767.0, 5760000, -3243.0, 185824.0, 5760000, -3275.0, 163453.0, 73728, 1102.0, 187567.0, 5760031,
4, 33.0, 192929.0, 5308416, 1.0, 192322.0, 294912, 63.0, 192959.0, 5308416, -3243.0, 192823.0, 5308416, -3275.0, 192317.0, 294912, 1196.0, 193983.0, 5308447,
5, 33.0, 247649.0, 4460544, 1.0, 247497.0, 1179648, 63.0, 247679.0, 4460544, -3243.0, 245615.0, 3142808, -3275.0, 247477.0, 1179648, 1854.0, 247807.0, 4460575,
6, 33.0, 806369.0, 11943936, 1.0, 806257.0, 4718592, 63.0, 806399.0, 11943936, -3243.0, 804885.0, 11943936, -3275.0, 805890.0, 4718592, 2230.0, 806911.0, 11943967,
7, 33.0, 1317857.0, 14450688, 1.0, 1317777.0, 9437184, 63.0, 1317887.0, 14450688, -3243.0, 1317129.0, 14450688, -3275.0, 1317060.0, 9437184, 2985.0, 1318911.0, 14450719,
8, 33.0, 18273.0, 200704, 1.0, 18193.0, 128000, 63.0, 18300.0, 196000, -3243.0, 17939.0, 200704, -3275.0, 13616.0, 128000, 2985.0, 19308.0, 196031,
