LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 1028591, 0, 42.84818469426346, 42.857142857142854, 42.8448940309887,
1, 1514195, 0, 76.12531505425089, 76.19047619047615, 76.10174363989076,
2, 1228439, 0, 91.1071228259139, 91.42857142857139, 90.99149825783971,
3, 1217279, 0, 90.13076354252864, 91.42857142857167, 89.67101944740298,
4, 1116287, 0, 90.57947079405719, 96.24060150375907, 88.6953383458624,
5, 1115327, 0, 76.17742855426512, 98.84169884169849, 70.35203270496396,
6, 3324671, 0, 68.42888901101578, 98.84169884170095, 61.585981585971425,
7, 4830719, 0, 56.97934406865728, 98.84169884169603, 49.420849420848015,
8, 65789, 0, 56.747075245608436, 98.43730773963351, 49.218653869816755,
