LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 1028570.0, 9255384, 1.0, 857172.0, 432, 23.0, 1028579.0, 8227008, -5513.0, 1011029.0, 3146620, -111.0, -1.0, 432, 3979.0, 1031666.0, 8227008,
1, 13.0, 1514183.0, 18154800, 1.0, 1472147.0, 4608, 23.0, 1514185.0, 16137600, -5513.0, 1511445.0, 18154800, -553.0, -1.0, 4608, 3979.0, 1517493.0, 16137600,
2, 13.0, 1228427.0, 14689440, 1.0, 1218215.0, 18432, 23.0, 1228433.0, 15668736, -5513.0, 1224406.0, 14689440, -1879.0, -1.0, 18432, 3979.0, 1229845.0, 15668736,
3, 13.0, 1217267.0, 14400000, 1.0, 1214756.0, 73728, 23.0, 1217267.0, 15360000, -5513.0, 1214309.0, 14400000, -5525.0, 831819.0, 73728, 4015.0, 1220331.0, 15360000,
4, 13.0, 1116275.0, 12607488, 1.0, 1115688.0, 294912, 23.0, 1116277.0, 14155776, -5513.0, 1115360.0, 12607488, -5525.0, 1006133.0, 294912, 4195.0, 1120218.0, 14155776,
5, 13.0, 1115315.0, 10315008, 1.0, 1115183.0, 1179648, 23.0, 1115321.0, 11894784, -4420.0, -1.0, 43264, -5525.0, 1084245.0, 1179648, 5131.0, 1115750.0, 11894784,
6, 13.0, 3324659.0, 27620352, 1.0, 3324567.0, 4718592, 23.0, 3324659.0, 31850496, -5513.0, 3322434.0, 10239723, -5525.0, 3270512.0, 4718592, 5707.0, 3328579.0, 31850496,
7, 13.0, 4830707.0, 33417216, 1.0, 4830647.0, 9437184, 23.0, 4830707.0, 38535168, -5513.0, 4823052.0, 24526318, -5525.0, 4752104.0, 9437184, 6859.0, 4834180.0, 38535168,
8, 13.0, 65769.0, 451584, 1.0, 65717.0, 128000, 23.0, 65788.0, 526750, -5083.0, -1.0, 50176, -5525.0, 56275.0, 128000, 6859.0, 67865.0, 526750,
