LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 1124499, 0, 60.25794598305556, 94.15295686971983, 53.32556849259134,
1, 134399, 0, 56.8893121724616, 88.88888888888893, 50.34414945919428,
2, 1003199, 0, 63.78133493810443, 99.65823650034152, 56.443602973651416,
3, 392447, 0, 77.93018335384566, 88.88888888888893, 74.6083788706734,
4, 392447, 0, 77.93018335384566, 88.88888888888893, 74.6083788706734,
5, 492799, 0, 62.060731995533, 96.96969696969701, 54.92089031912033,
6, 1003199, 0, 63.78133493810443, 99.65823650034152, 56.443602973651416,
7, 392447, 0, 77.93018335384566, 88.88888888888893, 74.6083788706734,
8, 492799, 0, 62.060731995533, 96.96969696969701, 54.92089031912033,
9, 1003199, 0, 63.78133493810443, 99.65823650034152, 56.443602973651416,
10, 392447, 0, 77.93018335384566, 88.88888888888893, 74.6083788706734,
11, 220087, 0, 74.53191129828096, 95.49357746079072, 69.05750234452744,
12, 771455, 0, 76.91114285899465, 98.54227405247893, 71.2622094842807,
13, 337567, 0, 90.59969329545443, 96.96969696969697, 88.4999729919521,
14, 735415, 0, 89.22039807131898, 95.49357746079072, 87.15278370753087,
15, 394911, 0, 77.44394728601297, 99.2248062015504, 71.75579205536059,
16, 771455, 0, 76.91114285899465, 98.54227405247893, 71.2622094842807,
17, 337567, 0, 90.59969329545443, 96.96969696969697, 88.4999729919521,
18, 394911, 0, 77.44394728601297, 99.2248062015504, 71.75579205536059,
19, 771455, 0, 76.91114285899465, 98.54227405247893, 71.2622094842807,
20, 337567, 0, 90.59969329545443, 96.96969696969697, 88.4999729919521,
21, 394911, 0, 77.44394728601297, 99.2248062015504, 71.75579205536059,
22, 771455, 0, 76.91114285899465, 98.54227405247893, 71.2622094842807,
23, 337567, 0, 90.59969329545443, 96.96969696969697, 88.4999729919521,
24, 213451, 0, 82.24035359068692, 93.80496384600342, 78.73465817893984,
25, 616703, 0, 81.9784286068705, 93.50649350649292, 78.4841388120062,
26, 326479, 0, 93.67667343586162, 96.96969696969697, 92.54144426558187,
27, 774859, 0, 90.61925183438905, 93.80496384600342, 89.5212329713951,
28, 351567, 0, 86.9918583560649, 99.2248062015504, 83.28377176261192,
29, 616703, 0, 81.9784286068705, 93.50649350649292, 78.4841388120062,
30, 326479, 0, 93.67667343586162, 96.96969696969697, 92.54144426558187,
31, 351567, 0, 86.9918583560649, 99.2248062015504, 83.28377176261192,
32, 616703, 0, 81.9784286068705, 93.50649350649292, 78.4841388120062,
33, 326479, 0, 93.67667343586162, 96.96969696969697, 92.54144426558187,
34, 351567, 0, 86.9918583560649, 99.2248062015504, 83.28377176261192,
35, 616703, 0, 81.9784286068705, 93.50649350649292, 78.4841388120062,
36, 326479, 0, 93.67667343586162, 96.96969696969697, 92.54144426558187,
37, 351567, 0, 86.9918583560649, 99.2248062015504, 83.28377176261192,
38, 616703, 0, 81.9784286068705, 93.50649350649292, 78.4841388120062,
39, 326479, 0, 93.67667343586162, 96.96969696969697, 92.54144426558187,
40, 351567, 0, 86.9918583560649, 99.2248062015504, 83.28377176261192,
41, 616703, 0, 81.9784286068705, 93.50649350649292, 78.4841388120062,
42, 326479, 0, 93.67667343586162, 96.96969696969697, 92.54144426558187,
43, 4629503, 0, 87.36375003043369, 93.50649350649705, 85.33925967082023,
44, 43343, 0, 49.613547747041046, 99.2248062015504, 42.02462380301012,
45, 32507, 0, 33.075952871689175, 99.2248062015504, 26.65741062131215,
