LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 138.25884181888847, 0.7312864360668481, 60.1943256898562, 7.974993377483444, 1.4952320406865862, 256.0,
1, 51.44937195590874, 1.0499871827736478, 51.44937195590874, 7.975204641182548, 0.6509853782581055, 256.0,
2, 152.0702580353101, 3.3376188320507016, 50.690086011770035, 7.975204641182548, 5.8588684043229495, 256.0,
3, 51.44937195590874, 4.199948731094591, 205.79748782363495, 7.975204641182548, 2.603941513032422, 256.0,
4, 51.44937195590874, 4.199948731094591, 205.79748782363495, 7.975204641182548, 2.603941513032422, 256.0,
5, 205.79748782363495, 4.199948731094591, 51.44937195590874, 9.815696487302693, 2.603941513032422, 256.0,
6, 152.0702580353101, 3.3376188320507016, 50.690086011770035, 7.975204641182548, 5.8588684043229495, 256.0,
7, 51.44937195590874, 4.199948731094591, 205.79748782363495, 7.975204641182548, 2.603941513032422, 256.0,
8, 205.79748782363495, 4.199948731094591, 51.44937195590874, 9.815696487302693, 2.603941513032422, 256.0,
9, 152.0702580353101, 3.3376188320507016, 50.690086011770035, 7.975204641182548, 5.8588684043229495, 256.0,
10, 51.44937195590874, 4.199948731094591, 205.79748782363495, 7.975204641182548, 2.603941513032422, 256.0,
11, 134.05728518057285, 20.40348692403487, 67.02864259028642, 7.975204641182548, 5.207883026064844, 255.6959619952494,
12, 108.02496878901373, 20.454431960049938, 60.01387154945208, 7.975204641182548, 7.812238410596026, 256.0,
13, 64.76411745724427, 21.147466924814456, 129.52823491448854, 7.975204641182548, 5.2082969085273785, 256.0,
14, 134.01556178026766, 40.7942732648615, 134.01556178026766, 7.975204641182548, 6.944211920529801, 256.0,
15, 129.52823491448854, 21.147466924814456, 64.76411745724427, 9.114623069936421, 5.2082969085273785, 256.0,
16, 108.02496878901373, 20.454431960049938, 60.01387154945208, 7.975204641182548, 7.812238410596026, 256.0,
17, 64.76411745724427, 21.147466924814456, 129.52823491448854, 7.975204641182548, 5.2082969085273785, 256.0,
18, 129.52823491448854, 21.147466924814456, 64.76411745724427, 9.114623069936421, 5.2082969085273785, 256.0,
19, 108.02496878901373, 20.454431960049938, 60.01387154945208, 7.975204641182548, 7.812238410596026, 256.0,
20, 64.76411745724427, 21.147466924814456, 129.52823491448854, 7.975204641182548, 5.2082969085273785, 256.0,
21, 129.52823491448854, 21.147466924814456, 64.76411745724427, 9.114623069936421, 5.2082969085273785, 256.0,
22, 108.02496878901373, 20.454431960049938, 60.01387154945208, 7.975204641182548, 7.812238410596026, 256.0,
23, 64.76411745724427, 21.147466924814456, 129.52823491448854, 7.975204641182548, 5.2082969085273785, 256.0,
24, 58.15244825845532, 66.1645633518425, 58.15244825845532, 7.975204641182548, 6.944211920529801, 256.0,
25, 40.5148369764318, 72.02637684698986, 40.5148369764318, 7.974570883661793, 9.375083447245446, 256.0,
26, 52.171562256303616, 68.14244866129451, 52.171562256303616, 7.974570883661793, 8.333407508662619, 256.0,
27, 58.13044026744039, 66.13952314873218, 58.13044026744039, 7.975204641182548, 9.259276265828374, 256.0,
28, 52.171562256303616, 68.14244866129451, 52.171562256303616, 7.975204641182548, 8.333407508662619, 256.0,
29, 40.5148369764318, 72.02637684698986, 40.5148369764318, 7.974570883661793, 9.375083447245446, 256.0,
30, 52.171562256303616, 68.14244866129451, 52.171562256303616, 7.974570883661793, 8.333407508662619, 256.0,
31, 52.171562256303616, 68.14244866129451, 52.171562256303616, 7.975204641182548, 8.333407508662619, 256.0,
32, 40.5148369764318, 72.02637684698986, 40.5148369764318, 7.974570883661793, 9.375083447245446, 256.0,
33, 52.171562256303616, 68.14244866129451, 52.171562256303616, 7.974570883661793, 8.333407508662619, 256.0,
34, 52.171562256303616, 68.14244866129451, 52.171562256303616, 7.975204641182548, 8.333407508662619, 256.0,
35, 40.5148369764318, 72.02637684698986, 40.5148369764318, 7.974570883661793, 9.375083447245446, 256.0,
36, 52.171562256303616, 68.14244866129451, 52.171562256303616, 7.974570883661793, 8.333407508662619, 256.0,
37, 52.171562256303616, 68.14244866129451, 52.171562256303616, 7.975204641182548, 8.333407508662619, 256.0,
38, 40.5148369764318, 72.02637684698986, 40.5148369764318, 7.974570883661793, 9.375083447245446, 256.0,
39, 52.171562256303616, 68.14244866129451, 52.171562256303616, 7.974570883661793, 8.333407508662619, 256.0,
40, 52.171562256303616, 68.14244866129451, 52.171562256303616, 7.975204641182548, 8.333407508662619, 256.0,
41, 40.5148369764318, 72.02637684698986, 40.5148369764318, 7.974570883661793, 9.375083447245446, 256.0,
42, 52.171562256303616, 68.14244866129451, 52.171562256303616, 7.974570883661793, 8.333407508662619, 256.0,
43, 40.51050840214289, 72.01868160380958, 40.51050840214289, 7.975204641182548, 13.195278483879898, 63.93215317919075,
44, 52.1851274050962, 9.585023400936038, 7.338533541341653, 7.975204641182548, 2.9294342021614748, 252.0,
45, 52.1851274050962, 4.792511700468019, 3.6692667706708266, 7.975204641182548, 1.4647171010807374, 252.0,
