LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 182783, 0, 35.29431074005788, 75.0, 29.629629629628223,
1, 768119, 0, 2.700474424256807, 99.91742361684553, 1.9983484723364937,
2, 268799, 0, 56.889100529887884, 88.88888888888903, 50.344149459192586,
3, 397823, 0, 2.702709496434344, 100.0, 2.0000000000003366,
4, 220415, 0, 69.37700852180357, 88.88888888888893, 64.28123038292576,
5, 742367, 0, 2.6934694795739267, 99.65823650034152, 1.9931647300064792,
6, 404095, 0, 75.68385321933374, 96.96969696969701, 70.1249785995566,
7, 198911, 0, 2.7027162902001396, 100.0, 1.999999999999921,
8, 179871, 0, 85.01500149180987, 96.96969696969697, 81.39095876800735,
9, 348095, 0, 2.663312355206809, 98.54227405247707, 1.9708454810497613,
10, 359743, 0, 85.01476517032066, 96.96969696969697, 81.39095876800717,
11, 99455, 0, 2.702729877834196, 100.0, 2.0000000000001044,
12, 168783, 0, 90.59996168650476, 96.96969696969697, 88.49997299195132,
13, 156287, 0, 2.527218697469582, 93.50649350649292, 1.8701298701299593,
14, 329895, 0, 92.70666929376519, 99.2248062015504, 90.5581118987418,
15, 156287, 0, 2.527218697469582, 93.50649350649292, 1.8701298701299593,
16, 329895, 0, 92.70666929376519, 99.2248062015504, 90.5581118987418,
17, 156287, 0, 2.527218697469582, 93.50649350649292, 1.8701298701299593,
18, 329895, 0, 92.70666929376519, 99.2248062015504, 90.5581118987418,
19, 156287, 0, 2.527218697469582, 93.50649350649292, 1.8701298701299593,
20, 329895, 0, 92.70666929376519, 99.2248062015504, 90.5581118987418,
21, 156287, 0, 2.527218697469582, 93.50649350649292, 1.8701298701299593,
22, 329895, 0, 92.70666929376519, 99.2248062015504, 90.5581118987418,
23, 56831, 0, 2.3649064770987667, 87.5, 1.750000000000013,
24, 182319, 0, 83.87350376720656, 86.8217054263566, 82.85687451685867,
25, 28415, 0, 1.7375128830346145, 64.28571428571531, 1.28571428571428,
26, 364639, 0, 83.8732737492881, 86.8217054263566, 82.85687451685777,
