LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 1124499, 0, 60.25794598305556, 94.15295686971983, 53.32556849259134,
1, 1003199, 0, 63.78133493810443, 99.65823650034152, 56.443602973651416,
2, 1003199, 0, 63.78133493810443, 99.65823650034152, 56.443602973651416,
3, 1003199, 0, 63.78133493810443, 99.65823650034152, 56.443602973651416,
4, 1003199, 0, 63.78133493810443, 99.65823650034152, 56.443602973651416,
5, 440831, 0, 78.04895753701531, 100.0, 72.31638418079336,
6, 771455, 0, 76.91114285899465, 98.54227405247893, 71.2622094842807,
7, 60023, 0, 68.32174650510954, 87.53577933905798, 63.302710482482794,
8, 771455, 0, 76.91114285899465, 98.54227405247893, 71.2622094842807,
9, 771455, 0, 76.91114285899465, 98.54227405247893, 71.2622094842807,
10, 392447, 0, 87.67145627307636, 100.0, 83.93442622950728,
11, 616703, 0, 81.9784286068705, 93.50649350649292, 78.4841388120062,
12, 54603, 0, 80.37235002786346, 91.67303284950349, 76.94523412941933,
13, 616703, 0, 81.9784286068705, 93.50649350649292, 78.4841388120062,
14, 616703, 0, 81.9784286068705, 93.50649350649292, 78.4841388120062,
15, 420863, 0, 81.75201906558667, 87.5, 79.85739750445792,
16, 420863, 0, 83.42042761794558, 89.28571428571553, 81.48714031066974,
17, 60279, 0, 82.83513408681378, 88.65800865800861, 80.91426102121288,
18, 420863, 0, 83.42042761794558, 89.28571428571553, 81.48714031066974,
19, 420863, 0, 83.42042761794558, 89.28571428571553, 81.48714031066974,
20, 44547, 0, 6.841356427187123, 7.087486157253603, 6.756421503578269,
