LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 664159.0, 7686525, 1.0, 661188.0, 34848, 23.0, 664234.0, 9002400, -5513.0, 655324.0, 4234904, -3536.0, -1.0, 34848, 4015.0, 667399.0, 9002400,
1, 13.0, 2146987.0, 24122400, 1.0, 2146447.0, 614400, 23.0, 2146989.0, 27084800, -5513.0, 2139343.0, 10494559, -5525.0, 2068471.0, 614400, 4231.0, 2150182.0, 27084800,
2, 13.0, 844019.0, 7805952, 1.0, 843887.0, 884736, 23.0, 844023.0, 8921088, -4420.0, -1.0, 43264, -5525.0, 842315.0, 884736, 5131.0, 845336.0, 8921088,
3, 13.0, 1266035.0, 11708928, 1.0, 1265903.0, 1327104, 23.0, 1266039.0, 13381632, -5513.0, 1251428.0, 4640266, -5525.0, 1263544.0, 1327104, 5131.0, 1269979.0, 13381632,
4, 13.0, 859091.0, 7945344, 1.0, 858959.0, 884736, 23.0, 859093.0, 8921088, -5513.0, 844484.0, 3148516, -5525.0, 856600.0, 884736, 5131.0, 860408.0, 8921088,
