LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
12, 1.0, 176099.0, 1856512, 1.0, 176103.0, 2228224, 255.0, 176113.0, 116706, -5111.0, -1.0, 50176, -7985.0, 104799.0, 132074, 138591.0, 177581.0, 100352,
13, 1.0, 55571.0, 663552, 1.0, 55560.0, 55296, 4607.0, 55570.0, 456, -7985.0, 44849.0, 108522, -480.0, -1.0, 4608, 55583.0, 55593.0, 144,
14, 1.0, 337123.0, 3713024, 1.0, 337127.0, 4456448, 511.0, 337137.0, 116706, -7985.0, 333290.0, 3713024, -7985.0, 300775.0, 265150, 265311.0, 338605.0, 100352,
15, 1.0, 55571.0, 663552, 1.0, 55560.0, 55296, 4607.0, 55570.0, 456, -7985.0, 44849.0, 108522, -480.0, -1.0, 4608, 55583.0, 55593.0, 144,
16, 1.0, 337123.0, 3713024, 1.0, 337127.0, 4456448, 511.0, 337137.0, 116706, -7985.0, 333290.0, 3713024, -7985.0, 300775.0, 265150, 265311.0, 338605.0, 100352,
17, 1.0, 55571.0, 663552, 1.0, 55560.0, 55296, 4607.0, 55570.0, 456, -7985.0, 44849.0, 108522, -480.0, -1.0, 4608, 55583.0, 55593.0, 144,
18, 1.0, 337123.0, 3713024, 1.0, 337127.0, 4456448, 511.0, 337137.0, 116706, -7985.0, 333290.0, 3713024, -7985.0, 300775.0, 265150, 265311.0, 338605.0, 100352,
19, 1.0, 55571.0, 663552, 1.0, 55560.0, 55296, 4607.0, 55570.0, 456, -7985.0, 44849.0, 108522, -480.0, -1.0, 4608, 55583.0, 55593.0, 144,
20, 1.0, 337123.0, 3713024, 1.0, 337127.0, 4456448, 511.0, 337137.0, 116706, -7985.0, 333290.0, 3713024, -7985.0, 300775.0, 265150, 265311.0, 338605.0, 100352,
21, 1.0, 55571.0, 663552, 1.0, 55560.0, 55296, 4607.0, 55570.0, 456, -7985.0, 44849.0, 108522, -480.0, -1.0, 4608, 55583.0, 55593.0, 144,
22, 1.0, 337123.0, 3713024, 1.0, 337127.0, 4456448, 511.0, 337137.0, 116706, -7985.0, 333290.0, 3713024, -7985.0, 300775.0, 265150, 265311.0, 338605.0, 100352,
23, 1.0, 21088.0, 225792, 1.0, 23136.0, 23040, 4607.0, 23146.0, 179, -7985.0, 13146.0, 109090, -480.0, -1.0, 4608, 23159.0, 23162.0, 49,
24, 1.0, 198296.0, 1856512, 1.0, 198297.0, 2621440, 511.0, 198307.0, 59796, -2556.0, -1.0, 25088, -7985.0, 176959.0, 530300, 198319.0, 201902.0, 50176,
25, 1.0, 9224.0, 82944, 1.0, 9216.0, 9216, 9218.0, 9226.0, 35, -5111.0, -1.0, 50176, -959.0, -1.0, 9216, 9239.0, 9239.0, 9,
26, 1.0, 387736.0, 3713024, 1.0, 387737.0, 5242880, 1023.0, 387747.0, 59796, -5111.0, -1.0, 50176, -7985.0, 367391.0, 1162956, 387759.0, 391342.0, 50176,
