LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 6.348931809519049, 5.647094109487181, 3.018027081237464, 3.0661713145261342, 5.4, 2.9532448996108034,
1, 11.069639493403896, 0.9230798552764075, 0.12176984628677254, 1.4663812683895687, 1.8, 13.988439306358382,
2, 6.852795864503771, 7.3143106880315765, 3.205405645334763, 6.706788524836678, 6.4, 3.0121150043710063,
3, 11.490760119339182, 0.9600061069090771, 0.0632828453107208, 5.691599312293738, 3.6, 14.0,
4, 8.705103682788353, 9.309131285267545, 2.0364765634826663, 8.459599578503688, 8.5422314911366, 2.1266761678207566,
5, 11.755143176084012, 0.9795952646736678, 0.0323130382444439, 1.9044135067521715, 7.2, 13.952153110047847,
6, 10.079575330392052, 10.778974434949866, 1.1790105941407045, 9.936136716932186, 9.324985771200911, 1.2316869233294774,
7, 11.636513560523095, 0.9796044579011789, 0.032210268633640404, 5.517330336389875, 7.2, 14.0,
8, 10.003242273368764, 11.346319914798512, 1.2240263998698893, 9.954412087166261, 9.769827072152653, 1.6664092792321552,
9, 11.737473152718641, 0.9896981800369268, 0.016262858434756396, 2.27102087913181, 7.2, 13.795918367346939,
10, 10.860636992016952, 12.318832076874223, 0.664469880581797, 10.79047656776136, 9.769827072152653, 0.9148483260022335,
11, 11.410840176879343, 0.9897157296272899, 0.016121288692356284, 5.991952502884155, 7.2, 14.0,
12, 10.541236323167858, 12.651809288038201, 0.6626542281071321, 9.817256896889063, 1.1710245156714103, 2.573722141006899,
13, 11.93803860892719, 0.9948365507439325, 0.008203947250058472, 2.0539793697359703, 9.6, 13.090909090909092,
14, 11.013202113049951, 13.218272365138828, 0.3461617177280857, 10.879827471020523, 0.8587548297874408, 1.369152056756941,
15, 11.93803860892719, 0.9948365507439325, 0.008203947250058472, 2.0539793697359703, 9.6, 13.090909090909092,
16, 11.013202113049951, 13.218272365138828, 0.3461617177280857, 10.879827471020523, 0.8587548297874408, 1.369152056756941,
17, 11.93803860892719, 0.9948365507439325, 0.008203947250058472, 2.0539793697359703, 9.6, 13.090909090909092,
18, 11.013202113049951, 13.218272365138828, 0.3461617177280857, 10.879827471020523, 0.8587548297874408, 1.369152056756941,
19, 11.93803860892719, 0.9948365507439325, 0.008203947250058472, 2.0539793697359703, 9.6, 13.090909090909092,
20, 11.013202113049951, 13.218272365138828, 0.3461617177280857, 10.879827471020523, 0.8587548297874408, 1.369152056756941,
21, 11.93803860892719, 0.9948365507439325, 0.008203947250058472, 2.0539793697359703, 9.6, 13.090909090909092,
22, 11.013202113049951, 13.218272365138828, 0.3461617177280857, 10.879827471020523, 0.8587548297874408, 1.369152056756941,
23, 9.749643767002029, 0.9948616088777581, 0.007729176562027721, 5.162313079689571, 9.6, 12.25,
24, 9.361241232559664, 13.218299809902229, 0.3015142270785956, 9.815336463223787, 2.8673389386033685, 14.0,
25, 8.977594977811451, 0.9975105530901612, 0.003788288775841541, 9.817256896889063, 9.610010427528676, 9.0,
26, 9.575597213733273, 13.520975657560495, 0.15420918663396593, 9.817256896889063, 3.0981013754172473, 14.0,
