LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
30, 13.0, 377675.0, 3713024, 1.0, 377476.0, 262144, 23.0, 377683.0, 4415488, -5083.0, -1.0, 50176, -5525.0, 314594.0, 262144, 4699.0, 381053.0, 4415488,
31, 13.0, 379067.0, 3813376, 1.0, 378868.0, 262144, 23.0, 379077.0, 4315136, -5513.0, 378809.0, 3813376, -5525.0, 307406.0, 262144, 4699.0, 379227.0, 4315136,
32, 13.0, 656627.0, 6303744, 1.0, 656472.0, 589824, 23.0, 656629.0, 7077888, -5083.0, -1.0, 50176, -5525.0, 591849.0, 589824, 4951.0, 660579.0, 7077888,
33, 13.0, 377675.0, 3713024, 1.0, 377476.0, 262144, 23.0, 377683.0, 4415488, -5083.0, -1.0, 50176, -5525.0, 314594.0, 262144, 4699.0, 381053.0, 4415488,
34, 13.0, 379067.0, 3813376, 1.0, 378868.0, 262144, 23.0, 379077.0, 4315136, -5513.0, 378809.0, 3813376, -5525.0, 307406.0, 262144, 4699.0, 379227.0, 4315136,
35, 13.0, 656627.0, 6303744, 1.0, 656472.0, 589824, 23.0, 656629.0, 7077888, -5083.0, -1.0, 50176, -5525.0, 591849.0, 589824, 4951.0, 660579.0, 7077888,
36, 13.0, 377675.0, 3713024, 1.0, 377476.0, 262144, 23.0, 377683.0, 4415488, -5083.0, -1.0, 50176, -5525.0, 314594.0, 262144, 4699.0, 381053.0, 4415488,
37, 13.0, 379067.0, 3813376, 1.0, 378868.0, 262144, 23.0, 379077.0, 4315136, -5513.0, 378809.0, 3813376, -5525.0, 307406.0, 262144, 4699.0, 379227.0, 4315136,
38, 13.0, 656627.0, 6303744, 1.0, 656472.0, 589824, 23.0, 656629.0, 7077888, -5083.0, -1.0, 50176, -5525.0, 591849.0, 589824, 4951.0, 660579.0, 7077888,
39, 13.0, 377675.0, 3713024, 1.0, 377476.0, 262144, 23.0, 377683.0, 4415488, -5083.0, -1.0, 50176, -5525.0, 314594.0, 262144, 4699.0, 381053.0, 4415488,
40, 13.0, 379067.0, 3813376, 1.0, 378868.0, 262144, 23.0, 379077.0, 4315136, -5513.0, 378809.0, 3813376, -5525.0, 307406.0, 262144, 4699.0, 379227.0, 4315136,
41, 13.0, 656627.0, 6303744, 1.0, 656472.0, 589824, 23.0, 656629.0, 7077888, -5083.0, -1.0, 50176, -5525.0, 591849.0, 589824, 4951.0, 660579.0, 7077888,
42, 13.0, 377675.0, 3713024, 1.0, 377476.0, 262144, 23.0, 377683.0, 4415488, -5083.0, -1.0, 50176, -5525.0, 314594.0, 262144, 4699.0, 381053.0, 4415488,
43, 13.0, 5114867.0, 49102848, 1.0, 5114712.0, 4718592, 23.0, 5114873.0, 56623104, -5513.0, 5110630.0, 49102848, -5525.0, 5072944.0, 4718592, 4951.0, 5118755.0, 56623104,
44, 13.0, 29911.0, 301056, 1.0, 29708.0, 18432, 23.0, 29921.0, 303408, -5513.0, 27417.0, 301056, -1879.0, -1.0, 18432, 4699.0, 31850.0, 303408,
45, 13.0, 19935.0, 200704, 1.0, 19732.0, 9216, 23.0, 19941.0, 151704, -5513.0, 16416.0, 200704, -995.0, -1.0, 9216, 4699.0, 22887.0, 151704,
