LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 10.30898557310008, 11.003521526752243, 1.0497001254210647, 0.9579819860183452, 9.455276381909547, 0.9604353709098711,
1, 11.520015802490812, 12.2880168559902, 0.2993337439420356, 1.559160788316473, 9.812084109661964, 0.35046826379016677,
2, 11.520015802490812, 12.2880168559902, 0.2993337439420356, 1.559160788316473, 9.812084109661964, 0.35046826379016677,
3, 11.520015802490812, 12.2880168559902, 0.2993337439420356, 1.559160788316473, 9.812084109661964, 0.35046826379016677,
4, 11.520015802490812, 12.2880168559902, 0.2993337439420356, 1.559160788316473, 9.812084109661964, 0.35046826379016677,
5, 11.403665160770608, 12.28803103038139, 0.29674822411167706, 5.3560020819285015, 0.3308144140742048, 0.5031915800452287,
6, 11.617632798712254, 12.538794215888256, 0.15119368539456587, 1.6705306733513328, 0.39486055142510684, 0.3079781459664359,
7, 8.614734550809072, 9.309239904607947, 2.0184061844779846, 9.773276197896378, 9.266968325791856, 2.9154727405682097,
8, 11.617632798712254, 12.538794215888256, 0.15119368539456587, 1.6705306733513328, 0.39486055142510684, 0.3079781459664359,
9, 11.617632798712254, 12.538794215888256, 0.15119368539456587, 1.6705306733513328, 0.39486055142510684, 0.3079781459664359,
10, 11.294147380392632, 13.198745810813302, 0.15420419274076141, 5.235540510139587, 1.0762954269817557, 14.0,
11, 11.876311034829676, 13.334805372440337, 0.08062051723585721, 9.773276197896378, 2.0343257544800006, 13.995444191343964,
12, 9.972480909770189, 11.346467168449637, 1.2207905815458073, 9.773276197896378, 9.88476621417798, 13.451658103689864,
13, 11.876311034829676, 13.334805372440337, 0.08062051723585721, 9.773276197896378, 2.0343257544800006, 13.995444191343964,
14, 11.876311034829676, 13.334805372440337, 0.08062051723585721, 9.773276197896378, 2.0343257544800006, 13.995444191343964,
15, 9.69899159234604, 13.69521151484052, 0.06942061256759675, 9.773276197896378, 4.786680335283121, 14.0,
16, 8.290171564384782, 13.766165970697324, 0.030508547099976465, 9.773276197896378, 13.85999038292197, 13.989071038251366,
17, 9.752537846490451, 12.651940990041668, 0.6200228446403578, 9.284974093264248, 2.3921197737290103, 13.997436992738146,
18, 8.290171564384782, 13.766165970697324, 0.030508547099976465, 9.773276197896378, 13.85999038292197, 13.989071038251366,
19, 8.290171564384782, 13.766165970697324, 0.030508547099976465, 9.773276197896378, 13.85999038292197, 13.989071038251366,
20, 0.9552486331009821, 13.267342126402529, 0.07442149724028918, 3.764705882352941, 11.988666963261291, 13.88888888888889,
