LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 862694, 0, 78.54465198552441, 91.36816272594011, 78.54456093985516,
1, 728999, 0, 87.77154897135857, 91.42857142857251, 87.7714285714299,
2, 728999, 0, 87.77154897135857, 91.42857142857251, 87.7714285714299,
3, 728999, 0, 87.77154897135857, 91.42857142857251, 87.7714285714299,
4, 728999, 0, 87.77154897135857, 91.42857142857251, 87.7714285714299,
5, 395999, 0, 86.88506789158558, 90.50505050505019, 86.88484848484813,
6, 670319, 0, 88.51529751399814, 90.35923141186301, 88.51516546468221,
7, 62479, 0, 65.63607276806911, 90.24815560026796, 65.63502225474113,
8, 670319, 0, 88.51529751399814, 90.35923141186301, 88.51516546468221,
9, 670319, 0, 88.51529751399814, 90.35923141186301, 88.51516546468221,
10, 379847, 0, 90.57962811342462, 92.4664602683178, 90.57938965059745,
11, 530783, 0, 95.24860980314527, 96.24060150375936, 95.24843035423581,
12, 54871, 0, 79.97979677008672, 94.97427779976253, 79.9783391998001,
13, 530783, 0, 95.24860980314527, 96.24060150375936, 95.24843035423581,
14, 530783, 0, 95.24860980314527, 96.24060150375936, 95.24843035423581,
15, 430679, 0, 79.8887338365697, 80.72072072072073, 79.88854834215637,
16, 514151, 0, 68.28455342607799, 68.64006864006865, 68.28442061602698,
17, 62159, 0, 80.32978406375662, 87.85928785928792, 80.32849175706296,
18, 514151, 0, 68.28455342607799, 68.64006864006865, 68.28442061602698,
19, 514151, 0, 68.28455342607799, 68.64006864006865, 68.28442061602698,
20, 38591, 0, 7.897227456191982, 8.267195767195762, 7.897022822395951,
