LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 172161, 0, 0.656250612616969, 0.6591796875, 0.6552762298308751,
1, 42790, 0, 6.905545250058425, 7.03125, 6.864477100078985,
2, 21933, 0, 13.08088838736151, 14.0625, 12.783065630012477,
3, 9797, 0, 28.707767683984894, 37.5, 26.625958534507237,
4, 6709, 0, 38.634669846474885, 90.0, 32.46086412022542,
5, 15965, 0, 13.642342624491075, 100.0, 10.595446584938701,
6, 60983, 0, 9.56332092550383, 100.0, 7.350272232304891,
7, 117359, 0, 6.0123211683807805, 100.0, 4.57943925233646,
8, 3259, 0, 2.9365794722307457, 48.828125, 2.2360543224299065,
