LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 862694, 0, 78.54465198552441, 91.36816272594011, 78.54456093985516,
1, 115279, 0, 66.3248871578229, 91.1959287531826, 66.324311820495,
2, 728999, 0, 87.77154897135857, 91.42857142857251, 87.7714285714299,
3, 438063, 0, 69.81522444640763, 95.99571447703433, 69.81506507419948,
4, 438063, 0, 69.81522444640763, 95.99571447703433, 69.81506507419948,
5, 366799, 0, 83.37936217565115, 91.1959287531826, 83.37913486005078,
6, 728999, 0, 87.77154897135857, 91.42857142857251, 87.7714285714299,
7, 438063, 0, 69.81522444640763, 95.99571447703433, 69.81506507419948,
8, 366799, 0, 83.37936217565115, 91.1959287531826, 83.37913486005078,
9, 728999, 0, 87.77154897135857, 91.42857142857251, 87.7714285714299,
10, 438063, 0, 69.81522444640763, 95.99571447703433, 69.81506507419948,
11, 198799, 0, 82.5130144613643, 90.24815560026796, 82.51259940595949,
12, 670319, 0, 88.51529751399814, 90.35923141186301, 88.51516546468221,
13, 371183, 0, 82.3945780562867, 97.84329784329748, 82.39435607856869,
14, 735559, 0, 89.20293144073969, 97.56557362191133, 89.20281016860841,
15, 353759, 0, 86.4528299397801, 90.50505050505019, 86.45258555706334,
16, 670319, 0, 88.51529751399814, 90.35923141186301, 88.51516546468221,
17, 371183, 0, 82.3945780562867, 97.84329784329748, 82.39435607856869,
18, 353759, 0, 86.4528299397801, 90.50505050505019, 86.45258555706334,
19, 670319, 0, 88.51529751399814, 90.35923141186301, 88.51516546468221,
20, 371183, 0, 82.3945780562867, 97.84329784329748, 82.39435607856869,
21, 353759, 0, 86.4528299397801, 90.50505050505019, 86.45258555706334,
22, 670319, 0, 88.51529751399814, 90.35923141186301, 88.51516546468221,
23, 371183, 0, 82.3945780562867, 97.84329784329748, 82.39435607856869,
24, 193495, 0, 90.72216705488883, 94.97427779976253, 90.72169819678824,
25, 530783, 0, 95.24860980314527, 96.24060150375936, 95.24843035423581,
26, 352239, 0, 86.82589567500096, 94.96555378908316, 86.82564917859077,
27, 753615, 0, 93.17375962148161, 97.54115017272909, 93.17363598589165,
28, 338503, 0, 90.34917465034776, 92.4664602683178, 90.3489077430886,
29, 530783, 0, 95.24860980314527, 96.24060150375936, 95.24843035423581,
30, 352239, 0, 86.82589567500096, 94.96555378908316, 86.82564917859077,
31, 338503, 0, 90.34917465034776, 92.4664602683178, 90.3489077430886,
32, 530783, 0, 95.24860980314527, 96.24060150375936, 95.24843035423581,
33, 352239, 0, 86.82589567500096, 94.96555378908316, 86.82564917859077,
34, 338503, 0, 90.34917465034776, 92.4664602683178, 90.3489077430886,
35, 530783, 0, 95.24860980314527, 96.24060150375936, 95.24843035423581,
36, 352239, 0, 86.82589567500096, 94.96555378908316, 86.82564917859077,
37, 338503, 0, 90.34917465034776, 92.4664602683178, 90.3489077430886,
38, 530783, 0, 95.24860980314527, 96.24060150375936, 95.24843035423581,
39, 352239, 0, 86.82589567500096, 94.96555378908316, 86.82564917859077,
40, 338503, 0, 90.34917465034776, 92.4664602683178, 90.3489077430886,
41, 530783, 0, 95.24860980314527, 96.24060150375936, 95.24843035423581,
42, 352239, 0, 86.82589567500096, 94.96555378908316, 86.82564917859077,
43, 4102559, 0, 98.58499118651136, 98.8416988416988, 98.58496715639473,
44, 27335, 0, 78.66837387964148, 82.35294117647052, 78.6654960491659,
45, 18223, 0, 59.002359655380566, 61.764705882352885, 58.99912203687443,
